,Unnamed: 0.1,Unnamed: 0,Region,Country,State,City,Month,Day,Year,AvgTemperature
163,4546,2045955,North America,US,Massachusetts,Boston,6,13,2007,57.6
164,4547,2045956,North America,US,Massachusetts,Boston,6,14,2007,56.9
165,4548,2045957,North America,US,Massachusetts,Boston,6,15,2007,57.6
166,4549,2045958,North America,US,Massachusetts,Boston,6,16,2007,65.2
167,4550,2045959,North America,US,Massachusetts,Boston,6,17,2007,73.5
168,4551,2045960,North America,US,Massachusetts,Boston,6,18,2007,73.6
169,4552,2045961,North America,US,Massachusetts,Boston,6,19,2007,72.3
170,4553,2045962,North America,US,Massachusetts,Boston,6,20,2007,72.0
171,4554,2045963,North America,US,Massachusetts,Boston,6,21,2007,70.9
172,4555,2045964,North America,US,Massachusetts,Boston,6,22,2007,66.0
173,4556,2045965,North America,US,Massachusetts,Boston,6,23,2007,63.4
174,4557,2045966,North America,US,Massachusetts,Boston,6,24,2007,67.9
175,4558,2045967,North America,US,Massachusetts,Boston,6,25,2007,77.2
176,4559,2045968,North America,US,Massachusetts,Boston,6,26,2007,79.9
177,4560,2045969,North America,US,Massachusetts,Boston,6,27,2007,86.1
178,4561,2045970,North America,US,Massachusetts,Boston,6,28,2007,82.5
179,4562,2045971,North America,US,Massachusetts,Boston,6,29,2007,70.5
180,4563,2045972,North America,US,Massachusetts,Boston,6,30,2007,69.1
181,4564,2045973,North America,US,Massachusetts,Boston,7,1,2007,65.7
182,4565,2045974,North America,US,Massachusetts,Boston,7,2,2007,65.0
183,4566,2045975,North America,US,Massachusetts,Boston,7,3,2007,66.3
184,4567,2045976,North America,US,Massachusetts,Boston,7,4,2007,69.3
185,4568,2045977,North America,US,Massachusetts,Boston,7,5,2007,70.6
186,4569,2045978,North America,US,Massachusetts,Boston,7,6,2007,74.1
187,4570,2045979,North America,US,Massachusetts,Boston,7,7,2007,72.6
188,4571,2045980,North America,US,Massachusetts,Boston,7,8,2007,76.1
189,4572,2045981,North America,US,Massachusetts,Boston,7,9,2007,65.4
190,4573,2045982,North America,US,Massachusetts,Boston,7,10,2007,64.6
191,4574,2045983,North America,US,Massachusetts,Boston,7,11,2007,74.3
192,4575,2045984,North America,US,Massachusetts,Boston,7,12,2007,76.0
193,4576,2045985,North America,US,Massachusetts,Boston,7,13,2007,76.0
194,4577,2045986,North America,US,Massachusetts,Boston,7,14,2007,73.0
195,4578,2045987,North America,US,Massachusetts,Boston,7,15,2007,77.1
196,4579,2045988,North America,US,Massachusetts,Boston,7,16,2007,74.8
197,4580,2045989,North America,US,Massachusetts,Boston,7,17,2007,72.3
198,4581,2045990,North America,US,Massachusetts,Boston,7,18,2007,70.0
199,4582,2045991,North America,US,Massachusetts,Boston,7,19,2007,67.0
200,4583,2045992,North America,US,Massachusetts,Boston,7,20,2007,75.6
201,4584,2045993,North America,US,Massachusetts,Boston,7,21,2007,69.3
202,4585,2045994,North America,US,Massachusetts,Boston,7,22,2007,70.4
203,4586,2045995,North America,US,Massachusetts,Boston,7,23,2007,64.9
204,4587,2045996,North America,US,Massachusetts,Boston,7,24,2007,70.8
205,4588,2045997,North America,US,Massachusetts,Boston,7,25,2007,78.1
206,4589,2045998,North America,US,Massachusetts,Boston,7,26,2007,79.9
207,4590,2045999,North America,US,Massachusetts,Boston,7,27,2007,81.0
208,4591,2046000,North America,US,Massachusetts,Boston,7,28,2007,76.5
209,4592,2046001,North America,US,Massachusetts,Boston,7,29,2007,75.7
210,4593,2046002,North America,US,Massachusetts,Boston,7,30,2007,72.4
211,4594,2046003,North America,US,Massachusetts,Boston,7,31,2007,73.2
212,4595,2046004,North America,US,Massachusetts,Boston,8,1,2007,77.0
213,4596,2046005,North America,US,Massachusetts,Boston,8,2,2007,80.6
214,4597,2046006,North America,US,Massachusetts,Boston,8,3,2007,84.2
215,4598,2046007,North America,US,Massachusetts,Boston,8,4,2007,82.5
216,4599,2046008,North America,US,Massachusetts,Boston,8,5,2007,73.6
217,4600,2046009,North America,US,Massachusetts,Boston,8,6,2007,70.5
218,4601,2046010,North America,US,Massachusetts,Boston,8,7,2007,69.8
219,4602,2046011,North America,US,Massachusetts,Boston,8,8,2007,79.1
220,4603,2046012,North America,US,Massachusetts,Boston,8,9,2007,72.1
221,4604,2046013,North America,US,Massachusetts,Boston,8,10,2007,64.4
222,4605,2046014,North America,US,Massachusetts,Boston,8,11,2007,67.5
223,4606,2046015,North America,US,Massachusetts,Boston,8,12,2007,76.2
224,4607,2046016,North America,US,Massachusetts,Boston,8,13,2007,76.0
225,4608,2046017,North America,US,Massachusetts,Boston,8,14,2007,68.9
226,4609,2046018,North America,US,Massachusetts,Boston,8,15,2007,71.5
227,4610,2046019,North America,US,Massachusetts,Boston,8,16,2007,78.1
228,4611,2046020,North America,US,Massachusetts,Boston,8,17,2007,75.7
229,4612,2046021,North America,US,Massachusetts,Boston,8,18,2007,66.7
230,4613,2046022,North America,US,Massachusetts,Boston,8,19,2007,65.5
231,4614,2046023,North America,US,Massachusetts,Boston,8,20,2007,62.6
232,4615,2046024,North America,US,Massachusetts,Boston,8,21,2007,61.6
233,4616,2046025,North America,US,Massachusetts,Boston,8,22,2007,61.2
234,4617,2046026,North America,US,Massachusetts,Boston,8,23,2007,64.6
235,4618,2046027,North America,US,Massachusetts,Boston,8,24,2007,76.2
236,4619,2046028,North America,US,Massachusetts,Boston,8,25,2007,80.6
237,4620,2046029,North America,US,Massachusetts,Boston,8,26,2007,79.8
238,4621,2046030,North America,US,Massachusetts,Boston,8,27,2007,72.5
239,4622,2046031,North America,US,Massachusetts,Boston,8,28,2007,-99.0
240,4623,2046032,North America,US,Massachusetts,Boston,8,29,2007,73.6
241,4624,2046033,North America,US,Massachusetts,Boston,8,30,2007,76.5
242,4625,2046034,North America,US,Massachusetts,Boston,8,31,2007,70.3
243,4626,2046035,North America,US,Massachusetts,Boston,9,1,2007,70.3
244,4627,2046036,North America,US,Massachusetts,Boston,9,2,2007,65.5
245,4628,2046037,North America,US,Massachusetts,Boston,9,3,2007,71.8
246,4629,2046038,North America,US,Massachusetts,Boston,9,4,2007,72.9
247,4630,2046039,North America,US,Massachusetts,Boston,9,5,2007,65.1
248,4631,2046040,North America,US,Massachusetts,Boston,9,6,2007,65.4
249,4632,2046041,North America,US,Massachusetts,Boston,9,7,2007,74.8
250,4633,2046042,North America,US,Massachusetts,Boston,9,8,2007,80.8
251,4634,2046043,North America,US,Massachusetts,Boston,9,9,2007,70.8
252,4635,2046044,North America,US,Massachusetts,Boston,9,10,2007,62.1
253,4636,2046045,North America,US,Massachusetts,Boston,9,11,2007,61.7
254,4637,2046046,North America,US,Massachusetts,Boston,9,12,2007,66.9
255,4638,2046047,North America,US,Massachusetts,Boston,9,13,2007,64.6
256,4639,2046048,North America,US,Massachusetts,Boston,9,14,2007,64.8
257,4640,2046049,North America,US,Massachusetts,Boston,9,15,2007,62.9
258,4641,2046050,North America,US,Massachusetts,Boston,9,16,2007,56.5
259,4642,2046051,North America,US,Massachusetts,Boston,9,17,2007,56.2
260,4643,2046052,North America,US,Massachusetts,Boston,9,18,2007,56.0
261,4644,2046053,North America,US,Massachusetts,Boston,9,19,2007,56.5
262,4645,2046054,North America,US,Massachusetts,Boston,9,20,2007,64.2
263,4646,2046055,North America,US,Massachusetts,Boston,9,21,2007,64.5
264,4647,2046056,North America,US,Massachusetts,Boston,9,22,2007,67.4
265,4648,2046057,North America,US,Massachusetts,Boston,9,23,2007,72.2
266,4649,2046058,North America,US,Massachusetts,Boston,9,24,2007,70.6
267,4650,2046059,North America,US,Massachusetts,Boston,9,25,2007,73.5
268,4651,2046060,North America,US,Massachusetts,Boston,9,26,2007,79.6
269,4652,2046061,North America,US,Massachusetts,Boston,9,27,2007,76.2
270,4653,2046062,North America,US,Massachusetts,Boston,9,28,2007,72.2
271,4654,2046063,North America,US,Massachusetts,Boston,9,29,2007,66.2
272,4655,2046064,North America,US,Massachusetts,Boston,9,30,2007,59.5
273,4656,2046065,North America,US,Massachusetts,Boston,10,1,2007,57.8
274,4657,2046066,North America,US,Massachusetts,Boston,10,2,2007,57.9
275,4658,2046067,North America,US,Massachusetts,Boston,10,3,2007,62.3
276,4659,2046068,North America,US,Massachusetts,Boston,10,4,2007,72.7
277,4660,2046069,North America,US,Massachusetts,Boston,10,5,2007,67.8
278,4661,2046070,North America,US,Massachusetts,Boston,10,6,2007,71.5
279,4662,2046071,North America,US,Massachusetts,Boston,10,7,2007,61.9
280,4663,2046072,North America,US,Massachusetts,Boston,10,8,2007,57.0
281,4664,2046073,North America,US,Massachusetts,Boston,10,9,2007,57.5
282,4665,2046074,North America,US,Massachusetts,Boston,10,10,2007,56.2
283,4666,2046075,North America,US,Massachusetts,Boston,10,11,2007,58.3
284,4667,2046076,North America,US,Massachusetts,Boston,10,12,2007,59.6
285,4668,2046077,North America,US,Massachusetts,Boston,10,13,2007,51.1
286,4669,2046078,North America,US,Massachusetts,Boston,10,14,2007,53.9
287,4670,2046079,North America,US,Massachusetts,Boston,10,15,2007,52.2
288,4671,2046080,North America,US,Massachusetts,Boston,10,16,2007,54.4
289,4672,2046081,North America,US,Massachusetts,Boston,10,17,2007,53.1
290,4673,2046082,North America,US,Massachusetts,Boston,10,18,2007,58.7
291,4674,2046083,North America,US,Massachusetts,Boston,10,19,2007,64.5
292,4675,2046084,North America,US,Massachusetts,Boston,10,20,2007,67.1
293,4676,2046085,North America,US,Massachusetts,Boston,10,21,2007,63.5
294,4677,2046086,North America,US,Massachusetts,Boston,10,22,2007,67.4
295,4678,2046087,North America,US,Massachusetts,Boston,10,23,2007,67.4
296,4679,2046088,North America,US,Massachusetts,Boston,10,24,2007,61.6
297,4680,2046089,North America,US,Massachusetts,Boston,10,25,2007,53.5
298,4681,2046090,North America,US,Massachusetts,Boston,10,26,2007,51.1
299,4682,2046091,North America,US,Massachusetts,Boston,10,27,2007,60.0
300,4683,2046092,North America,US,Massachusetts,Boston,10,28,2007,57.3
301,4684,2046093,North America,US,Massachusetts,Boston,10,29,2007,43.6
302,4685,2046094,North America,US,Massachusetts,Boston,10,30,2007,50.2
303,4686,2046095,North America,US,Massachusetts,Boston,10,31,2007,53.5
304,4687,2046096,North America,US,Massachusetts,Boston,11,1,2007,58.9
305,4688,2046097,North America,US,Massachusetts,Boston,11,2,2007,48.0
306,4689,2046098,North America,US,Massachusetts,Boston,11,3,2007,47.0
307,4690,2046099,North America,US,Massachusetts,Boston,11,4,2007,48.6
308,4691,2046100,North America,US,Massachusetts,Boston,11,5,2007,47.4
309,4692,2046101,North America,US,Massachusetts,Boston,11,6,2007,49.9
310,4693,2046102,North America,US,Massachusetts,Boston,11,7,2007,43.2
311,4694,2046103,North America,US,Massachusetts,Boston,11,8,2007,39.5
312,4695,2046104,North America,US,Massachusetts,Boston,11,9,2007,38.5
313,4696,2046105,North America,US,Massachusetts,Boston,11,10,2007,38.6
314,4697,2046106,North America,US,Massachusetts,Boston,11,11,2007,35.4
315,4698,2046107,North America,US,Massachusetts,Boston,11,12,2007,38.0
316,4699,2046108,North America,US,Massachusetts,Boston,11,13,2007,49.4
317,4700,2046109,North America,US,Massachusetts,Boston,11,14,2007,48.4
318,4701,2046110,North America,US,Massachusetts,Boston,11,15,2007,58.0
319,4702,2046111,North America,US,Massachusetts,Boston,11,16,2007,43.8
320,4703,2046112,North America,US,Massachusetts,Boston,11,17,2007,37.3
321,4704,2046113,North America,US,Massachusetts,Boston,11,18,2007,38.2
322,4705,2046114,North America,US,Massachusetts,Boston,11,19,2007,36.5
323,4706,2046115,North America,US,Massachusetts,Boston,11,20,2007,35.6
324,4707,2046116,North America,US,Massachusetts,Boston,11,21,2007,38.8
